latitude,longitude
31.69,-110.3
31.69,-110.26
31.69,-110.22
31.69,-110.18
31.69,-110.14
31.69,-110.1
31.69,-110.06
31.69,-110.02
31.69,-109.98
31.69,-109.94
31.69,-109.9
31.69,-109.86
31.69,-109.82
31.69,-109.78
31.69,-109.74
31.69,-109.7
31.69,-109.66
31.69,-109.62
31.69,-109.58
31.69,-109.54
31.69,-109.5
31.69,-109.46
31.69,-109.42
31.69,-109.38
31.69,-109.34
31.69,-109.3
31.69,-109.26
31.69,-109.22
31.69,-109.18
31.69,-109.14
31.69,-109.1
31.69,-109.06
31.73,-112.34
31.73,-112.3
31.73,-112.26
31.73,-112.22
31.73,-112.18
31.73,-112.14
31.73,-112.1
31.73,-112.06
31.73,-112.02
31.73,-111.98
31.73,-111.94
31.73,-111.9
31.73,-111.86
31.73,-111.82
31.73,-111.78
31.73,-111.74
31.73,-111.7
31.73,-111.66
31.73,-111.62
31.73,-111.58
31.73,-111.54
31.73,-111.5
31.73,-111.46
31.73,-111.42
31.73,-111.38
31.73,-111.34
31.73,-111.3
31.73,-111.26
31.73,-111.22
31.73,-111.18
31.73,-111.14
31.73,-111.1
31.73,-111.06
31.73,-111.02
31.73,-110.98
31.73,-110.94
31.73,-110.9
31.73,-110.86
31.73,-110.82
31.73,-110.78
31.73,-110.74
31.73,-110.7
31.73,-110.66
31.73,-110.62
31.73,-110.58
31.73,-110.54
31.73,-110.5
31.73,-110.46
31.73,-110.42
31.73,-110.38
31.73,-110.34
31.73,-110.3
31.73,-110.26
31.73,-110.22
31.73,-110.18
31.73,-110.14
31.73,-110.1
31.73,-110.06
31.73,-110.02
31.73,-109.98
31.73,-109.94
31.73,-109.9
31.73,-109.86
31.73,-109.82
31.73,-109.78
31.73,-109.74
31.73,-109.7
31.73,-109.66
31.73,-109.62
31.73,-109.58
31.73,-109.54
31.73,-109.5
31.73,-109.46
31.73,-109.42
31.73,-109.38
31.73,-109.34
31.73,-109.3
31.73,-109.26
31.73,-109.22
31.73,-109.18
31.73,-109.14
31.73,-109.1
31.73,-109.06
31.77,-112.46
31.77,-112.42
31.77,-112.38
31.77,-112.34
31.77,-112.3
31.77,-112.26
31.77,-112.22
31.77,-112.18
31.77,-112.14
31.77,-112.1
31.77,-112.06
31.77,-112.02
31.77,-111.98
31.77,-111.94
31.77,-111.9
31.77,-111.86
31.77,-111.82
31.77,-111.78
31.77,-111.74
31.77,-111.7
31.77,-111.66
31.77,-111.62
31.77,-111.58
31.77,-111.54
31.77,-111.5
31.77,-111.46
31.77,-111.42
31.77,-111.38
31.77,-111.34
31.77,-111.3
31.77,-111.26
31.77,-111.22
31.77,-111.18
31.77,-111.14
31.77,-111.1
31.77,-111.06
31.77,-111.02
31.77,-110.98
31.77,-110.94
31.77,-110.9
31.77,-110.86
31.77,-110.82
31.77,-110.78
31.77,-110.74
31.77,-110.7
31.77,-110.66
31.77,-110.62
31.77,-110.58
31.77,-110.54
31.77,-110.5
31.77,-110.46
31.77,-110.42
31.77,-110.38
31.77,-110.34
31.77,-110.3
31.77,-110.26
31.77,-110.22
31.77,-110.18
31.77,-110.14
31.77,-110.1
31.77,-110.06
31.77,-110.02
31.77,-109.98
31.77,-109.94
31.77,-109.9
31.77,-109.86
31.77,-109.82
31.77,-109.78
31.77,-109.74
31.77,-109.7
31.77,-109.66
31.77,-109.62
31.77,-109.58
