latitude,longitude,elevation,timezone,country,state,county,urban,population,landcover,ghi_mean2022,dni_mean2022,dhi_mean2022,temp_mean2022,wind_mean2022,sp_mean2022,Solar_Energy2022
36.85,-113.78,1516.92,-7,b'United States',b'Arizona',b'Mohave',b'None',0,70,225.45182648401823,302.06672374429223,52.69571917808219,132.3681506849315,24.873744292237443,844.8248287671233,355.49243999999993
36.85,-113.74,1836.92,-7,b'United States',b'Arizona',b'Mohave',b'None',0,70,227.7687785388128,305.70205479452056,52.78099315068493,109.76238584474886,24.872317351598173,809.616894977169,359.14581
36.85,-113.7,1582.55,-7,b'United States',b'Arizona',b'Mohave',b'None',0,70,225.4872716894977,298.62380136986303,53.56261415525114,128.24297945205478,24.83373287671233,838.3431506849315,355.54832999999996
36.85,-113.66,1323.68,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,222.6173515981735,292.10759132420094,54.584931506849315,140.47545662100455,24.911415525114155,858.3593607305936,351.02304
36.85,-113.62,1563.0,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,223.8068493150685,294.6925799086758,53.82442922374429,133.42077625570775,24.875913242009133,847.1038812785388,352.89864
36.85,-113.58,1371.16,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,224.9013698630137,298.96198630136985,52.93944063926941,134.73618721461187,25.003938356164383,849.7541095890411,354.62448000000006
36.85,-113.54,1500.12,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,224.46084474885845,300.91826484018264,52.63767123287671,134.26284246575344,25.035216894977168,849.1835616438356,353.92985999999996
36.85,-113.5,1589.35,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,225.2724885844749,303.9201484018265,51.537100456621005,121.72123287671234,25.11329908675799,829.799200913242,355.20966000000004
36.85,-113.46,1397.56,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,224.4738584474886,299.9316780821918,52.47848173515982,141.32511415525113,25.247545662100457,861.682305936073,353.95038
36.85,-113.42,1338.68,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,224.84874429223743,301.9142694063927,51.45616438356164,139.56723744292236,25.32722602739726,859.3663242009133,354.5414999999999
